run,adapter,taskId,internalPass,answer,failureReason,strictScore,manualCorrected,referenceMatchType,envStatus,verdictReasons,partialCredit,referenceAnswer,refType,question,plannerCalls,traceDir
webvoyager_lite_1787773616455,browsegent,Allrecipes--3,False,,planner_escalated:captcha:The page is protected by a Cloudflare Turnstile challenge which cannot be bypassed.,0,0,not_applicable,environment_block,benchmark_result_failed|environment_block,0,"'Vegan Chocolate Chip, Oatmeal, and Nut Cookies', 4.9 star, 67 viewers (> 60)",golden,Locate a recipe for vegan chocolate chip cookies with over 60 reviews and a rating of at least 4.5 stars on Allrecipes.,3,D:\BrowseGent\logs\webvoyager-lite\webvoyager_lite_1787773616455\traces\webvoyager_lite_1787773616455_webvoyager_Allrecipes__3_a1\
webvoyager_lite_1787773616455,browsegent,Allrecipes--10,False,,planner_escalated:captcha:The page is protected by a Cloudflare Turnstile challenge which prevents automated access to the content.,0,0,not_applicable,environment_block,benchmark_result_failed|environment_block,0,"'Swedish Meatballs I', prep time 25 mins, total time 1 hour 25 mins",golden,"Find The Most Popular Recipes of the 1960s, noting the recipe name, preparation time and total time of the second recipe in this collection.",3,D:\BrowseGent\logs\webvoyager-lite\webvoyager_lite_1787773616455\traces\webvoyager_lite_1787773616455_webvoyager_Allrecipes__10_a1\
webvoyager_lite_1787773616455,browsegent,Amazon--0,True,The search results for 'green Xbox Wireless controller' include several options rated above 4 stars. Notable items include the 'Xbox Wireless Gaming Controller | Velocity Green' (v2ref_1293) with a 4.6-star rating (v2ref_1296) and the 'Microsoft Xbox Wireless Controller - Velocity Green' (v2ref_1311) with a 4.7-star rating (v2ref_1314).,,1,1,partial,normal,,1,Xbox Core Wireless Gaming Controller - Velocity Green; 4.7-star,possible,Search an Xbox Wireless controller with green color and rated above 4 stars.,6,D:\BrowseGent\logs\webvoyager-lite\webvoyager_lite_1787773616455\traces\webvoyager_lite_1787773616455_webvoyager_Amazon__0_a1\
webvoyager_lite_1787773616455,browsegent,Amazon--10,False,PS4 console,v2_max_steps_exhausted,0,0,mismatch,normal,benchmark_result_failed|reference_mismatch,0,Sony Playstation PS4 1TB Black Console; 2-Year Protection for $30.99,possible,Find the cost of a 2-year protection for PS4 on Amazon.,13,D:\BrowseGent\logs\webvoyager-lite\webvoyager_lite_1787773616455\traces\webvoyager_lite_1787773616455_webvoyager_Amazon__10_a1\
webvoyager_lite_1787773616455,browsegent,Apple--0,True,"The latest MacBook Air models on Apple's website are the 13-inch model, which starts at $1299, and the 15-inch model, which starts at $1499.",,1,1,partial,normal,,1,MacBook Air 13-inch M1 chip: from $999; 13-inch M2 chip: from $1099; 15-inch M2 chip: from $1299,possible,Compare the prices of the latest models of MacBook Air available on Apple's website.,4,D:\BrowseGent\logs\webvoyager-lite\webvoyager_lite_1787773616455\traces\webvoyager_lite_1787773616455_webvoyager_Apple__0_a1\
webvoyager_lite_1787773616455,browsegent,Apple--10,True,"The latest MacBook Pro models are the 14-inch and 16-inch versions, which are available with the M5, M5 Pro, or M5 Max chips. Key features include high-performance processing power via the M5 series chips. Specific memory and storage configurations are customizable during the purchase process on the Apple website.",,0,0,mismatch,normal,reference_mismatch,0,"Macbook Pro; processor type: Apple M3 chip, Apple M3 Pro chip, Apple M3 Max chip; memory size: 8GB, 16GB, 18GB, 24GB, 36GB, 48GB, 64GB, 96GB, 128GB; storage capacity: 512GB, 1TB, 2TB, 4TB, 8TB",possible,"Find information on the latest (as of today's date) MacBook model, including its key features such as processor type, memory size, and storage capacity.",8,D:\BrowseGent\logs\webvoyager-lite\webvoyager_lite_1787773616455\traces\webvoyager_lite_1787773616455_webvoyager_Apple__10_a1\
webvoyager_lite_1787773616455,browsegent,ArXiv--0,True,"The latest preprints about 'quantum computing' are available on the current arXiv search results page, sorted by announcement date (newest first). Key results include arXiv:2608.24832, arXiv:2608.24781, arXiv:2608.24668, arXiv:2608.24655, arXiv:2608.24631, arXiv:2608.24514, arXiv:2608.24447, and arXiv:2608.24337.",,1,1,partial,normal,,1,Any paper related to quantum computing (latest),possible,Search for the latest preprints about 'quantum computing'.,7,D:\BrowseGent\logs\webvoyager-lite\webvoyager_lite_1787773616455\traces\webvoyager_lite_1787773616455_webvoyager_ArXiv__0_a1\
webvoyager_lite_1787773616455,browsegent,ArXiv--10,True,"To withdraw an article that has not yet been announced, you should contact the arXiv administrators directly, as the submission is not yet publicly available.",,0,0,mismatch,normal,reference_mismatch,0,If your submission has not yet become publicly available you may delete or delay it. To do either of these things go to your user page and select either the Delete or Unsubmit icon.,golden,Visit ArXiv Help on how to withdraw an article if the submission is not yet announced.,13,D:\BrowseGent\logs\webvoyager-lite\webvoyager_lite_1787773616455\traces\webvoyager_lite_1787773616455_webvoyager_ArXiv__10_a1\
webvoyager_lite_1787773616455,browsegent,BBC News--0,True,"The BBC News website features several recent reports on renewable energy developments in the UK, including: 1) 'Planners approve solar farm despite green belt fears' (12 Aug 2026) near Cambridge; 2) 'Up to 180 new jobs at Highland yard to support Dogger Bank Wind Farm' (12 Aug 2026) in Easter Ross; 3) 'Solar farm approved on former RAF bombing site' (18 Aug 2026) near Messingham; 4) 'Battery plans",,1,1,partial,normal,,1,<report> (about developments in renewable energy technologies in the UK),possible,Find a report on the BBC News website about recent developments in renewable energy technologies in the UK.,4,D:\BrowseGent\logs\webvoyager-lite\webvoyager_lite_1787773616455\traces\webvoyager_lite_1787773616455_webvoyager_BBC__News__0_a1\
webvoyager_lite_1787773616455,browsegent,BBC News--10,True,"There are currently no headlines on the BBC News UK page specifically covering the UK's plan to tackle climate change. The top stories currently include reports on missing UK nationals in Nepal, murder arrests in Cleveland, thunderstorm warnings, the US designating Palestine Action as a terrorist group, Prince Harry and Meghan's arrival in the UK, accidental fires in Stourbridge, and the King and ",,1,1,partial,normal,,1,News about UK's plan to tackle climate change,possible,Identify the main headlines covering the UK's plan to tackle climate change on BBC News.,10,D:\BrowseGent\logs\webvoyager-lite\webvoyager_lite_1787773616455\traces\webvoyager_lite_1787773616455_webvoyager_BBC__News__10_a1\
